U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
3944,91836,259,5885,5876,0,0.84,25.5611295
3945,91838,259,5631.48,5590.79,0,0.56,21.93166157
3946,91839,259,5545.2,5545.2,0,1,54.63941818
3947,91840,259,5497.84,5516.13,0,0.32,20.02562356
3948,91841,260,5424.28,5418.4,0,0.4,11.39004908
3949,91842,260,5381.48,5384.06,0,0.68,23.13243989
3950,91843,260,5353.48,5357.1,0,0.8,18.39204302
3951,91850,268,5195.16,5159,0,0.36,23.38218392
3952,91851,268,5103.64,5103.64,0,1,166.0355278
3953,91852,268,5105.6,5105.6,0,1,184.4157556
3954,91853,268,5128.88,5128.88,0,1,106.834794
3955,91854,268,5165.16,5165.16,0,1,109.650007
3956,91855,268,5207.92,5207.92,0,1,159.3060028
3957,91856,268,5231.52,5231.52,0,1,140.5288104
3958,91857,268,5302.2,5302.2,0,1,54.61225235
3959,91858,268,5431.56,5431.56,0,1,39.13892517
3960,91859,268,5653,5653,0,1,59.93142578
3961,91860,268,5693.44,5693.44,0,1,158.1909973
3962,91861,268,5728.4,5728.4,0,1,125.5397687
3963,91862,268,5766.76,5767.57,0,0.84,64.49640251
3965,92094,243,5311.72,5327,0,0.28,6.82174921
3966,92095,243,5374.56,5374.74,0,0.76,10.34831481
3967,92096,243,5427.96,5428,0,0.12,4.768504222
3968,92099,248,5203.08,5201,0,0.04,10.03569126
3969,92100,248,5195.28,5203.57,0,0.56,21.67530237
3970,92101,248,5201.52,5208,0,0.44,20.66337286
3971,92102,248,5248.64,5253.82,0,0.88,21.39964385
3972,92103,248,5333.04,5333.04,0,1,38.17218567
3973,92104,248,5413.44,5413.44,0,1,31.91751328
3974,92105,248,5571.88,5571.88,0,1,21.97180397
3975,92106,259,5792.8,5836.07,0,0.56,42.28800854
3976,92106,248,5792.8,5737.73,0,0.44,14.45539188
3977,92107,259,5812.32,5812.32,0,1,59.47590637
3978,92108,259,5761.88,5779.85,0,0.52,28.52948996
3979,92109,259,5602.76,5570.8,0,0.6,29.00644178
3980,92110,259,5528.52,5528.52,0,1,58.12553772
3981,92111,259,5480.72,5486.4,0,0.8,42.95506482
3982,92112,259,5420.44,5431,0,0.4,28.06725922
3983,92113,259,5369.56,5401,0,0.04,11.14402199
3984,92121,268,5164.56,5097.6,0,0.2,44.27735138
3985,92122,268,5079.52,5079.52,0,1,158.9485172
3986,92123,268,5074.64,5074.64,0,1,166.5749182
3987,92124,268,5076.88,5076.88,0,1,157.5342279
3988,92125,268,5093.8,5093.8,0,1,92.05221985
3989,92126,268,5195.04,5195.04,0,1,61.05923019
3990,92127,268,5275.4,5275.4,0,1,66.34601303
3991,92128,268,5374.84,5374.84,0,1,49.51234268
3992,92129,268,5479.2,5479.2,0,1,59.02657639
3993,92130,268,5593.72,5593.72,0,1,54.99615921
3994,92131,268,5679.36,5679.36,0,1,96.40815506
3995,92132,268,5734.4,5734.4,0,1,83.9139151
3996,92133,268,5818.72,5818.72,0,1,51.72835953
3998,92366,245,5421.76,5393,0,0.04,2.512099266
3999,92367,245,5443.8,5400.5,0,0.08,1.150033385
